_date_	ch_lmpiwpi
2005-04-01	0.026886852743884784
2005-05-01	0.029287091576059692
2005-06-01	-0.014950997008083446
2005-07-01	-0.023078735518463648
2005-08-01	-0.049991326492551176
2005-09-01	-0.040524990286773944
2005-10-01	-0.043149734985771128
2005-11-01	-0.022817550615614768
2005-12-01	-0.022139572186878272
2006-01-01	-0.04790676659502244
2006-02-01	-0.043400862185627096
2006-03-01	-0.050598617861338352
2006-04-01	-0.082795671875167088
2006-05-01	-0.086559070250386064
2006-06-01	-0.087533418028305872
2006-07-01	-0.08445588188408376
2006-08-01	-0.055744761375577336
2006-09-01	-0.046835060403000416
2006-10-01	-0.02581942272339114
2006-11-01	-0.024160454785673764
2006-12-01	-0.026906523774195424
2007-01-01	-0.011795872510509938
2007-02-01	-0.031541078781807204
2007-03-01	-0.048018308115295552
2007-04-01	-0.055025369322071072
2007-05-01	-0.04725351893642132
2007-06-01	-0.062299774023929576
2007-07-01	-0.049025333007134392
2007-08-01	-0.010473593601383326
2007-09-01	-0.086454917279751408
2007-10-01	-0.079288728798630544
2007-11-01	-0.084701996262059696
2007-12-01	-0.090528407937004016
2008-01-01	-0.074989037737076784
2008-02-01	-0.082888335038845232
2008-03-01	-0.1085378529284471
2008-04-01	-0.09459845611027656
2008-05-01	-0.11902068141969226
2008-06-01	-0.14737037756519248
2008-07-01	-0.11973842508125976
2008-08-01	-0.047667868520299912
2008-09-01	-0.074929905699635328
2008-10-01	0.02919442537953474
2008-11-01	0.095828841525228416
2008-12-01	0.09670736343313536
2009-01-01	0.097813338584766672
2009-02-01	0.091662555328214512
2009-03-01	0.074031330016308928
2009-04-01	0.084079305753339104
2009-05-01	0.038793046428227696
2009-06-01	0.00261927200466065
2009-07-01	0.051855631250777456
2009-08-01	0.023403250664555352
2009-09-01	-0.0046367352589673944
2009-10-01	-0.012821097636823352
2009-11-01	0.00265183173373066
2009-12-01	-0.023893897879275604
2010-01-01	0.00015679346826087098
2010-02-01	-0.0053192415898955072
2010-03-01	-0.026972854008047808
2010-04-01	-0.019946978709431708
2010-05-01	0.0088334417211764992
2010-06-01	0.02626185508654758
2010-07-01	0.040195789375550512
2010-08-01	0.019799243790318952
2010-09-01	-0.027874754458565692
2010-10-01	-0.033135185712121256
2010-11-01	-0.018724657119927528
2010-12-01	-0.061054982806122656
2011-01-01	-0.03437898365926958
2011-02-01	-0.047892065200512712
2011-03-01	-0.074610999961045584
2011-04-01	-0.07013346179174652
2011-05-01	-0.035322922664541304
2011-06-01	-0.025116439206670176
2011-07-01	-0.016736085750277296
2011-08-01	0.0026763344575857112
2011-09-01	-0.04623076331231284
2011-10-01	-0.016173594048889472
2011-11-01	-0.009220319240511008
2011-12-01	-0.02576577283075702
2012-01-01	0.00069640437546545416
2012-02-01	-0.019373242265114432
2012-03-01	-0.06192396939308096
2012-04-01	-0.031231107145691636
2012-05-01	-9.4917421703296672e-05
2012-06-01	0.041623666259161032
2012-07-01	0.020188673487544084
2012-08-01	-0.0017541121454160736
2012-09-01	-0.043162208331146816
2012-10-01	-0.016771705499600678
2012-11-01	0.0035962918309408052
2012-12-01	-0.027563030954070244
2013-01-01	-0.012969267022065984
2013-02-01	-0.0099926135683115632
2013-03-01	-0.0093934637593723936
2013-04-01	0.010729414629536898
2013-05-01	0.0099809195362272048
2013-06-01	0.026120981269794716
2013-07-01	0.01899222473662138
2013-08-01	0.007235832672072176
2013-09-01	-0.031863719858756448
2013-10-01	-0.012180375811854144
2013-11-01	0.0095690029939564032
2013-12-01	-0.025153363836231228
2014-01-01	0.004223777397683932
2014-02-01	-0.018066732724747712
2014-03-01	-0.0352687662564383
2014-04-01	-0.01224208991173975
2014-05-01	-0.0037612139717958136
2014-06-01	-0.011142996820236734
2014-07-01	0.012461474618546834
2014-08-01	0.022106499561804612
2014-09-01	0.0032847352737414284
2014-10-01	0.037948955098163384
2014-11-01	0.0686358132640678
2014-12-01	0.069007362872187752
2015-01-01	0.14260391722516084
2015-02-01	0.11065426266313778
2015-03-01	0.11138872775568446
2015-04-01	0.12098997314372766
2015-05-01	0.10914371865047858
2015-06-01	0.12498497130977268
2015-07-01	0.15620617752366856
2015-08-01	0.16081110158231928
2015-09-01	0.13701022013876682
2015-10-01	0.15939904077125502
2015-11-01	0.17823687437160116
2015-12-01	0.15040433810894186
2016-01-01	0.19917711333506212
2016-02-01	0.18944742767938964
2016-03-01	0.14431424741018684
2016-04-01	0.17849011736973302
2016-05-01	0.14858530644176754
2016-06-01	0.14573457718676114
2016-07-01	0.16252038846091484
2016-08-01	0.15147892809298566
2016-09-01	0.11727111598356114
2016-10-01	0.11430751500763896
2016-11-01	0.12454381198908502
2016-12-01	0.055011663393460592
2017-01-01	0.079479214872742128
2017-02-01	0.075681061830969472
2017-03-01	0.082458285142527552
2017-04-01	0.13651794256130114
2017-05-01	0.15048107768421066
2017-06-01	0.17115653691896884
2017-07-01	NA
2017-08-01	NA
2017-09-01	NA
2017-10-01	NA
2017-11-01	NA
2017-12-01	NA
2018-01-01	NA
2018-02-01	NA
2018-03-01	NA
